product_id,category,coverage,fill,contrast,garment_pixels,name,note
MS5245396,bottom,0.3041,0.6775,143.5,239189,복서 트렁크 버뮤다 팬츠[그레이],
MS6529592,top,0.3043,0.6539,228.1,239342,87-STAN335 Y2K 트리니티 글리치 피그먼트 반팔 티셔츠 (3color),
MS6769967,bottom,0.3072,0.7437,50.4,241554,셔링밴딩 롱 스커트_MIWWHG918B,
MS6979860,top,0.3078,0.4933,102.8,242075,Lace Shirring Top (ivory),
MS7081834,bottom,0.3099,0.8628,132.4,243729,여성) LW2 빈티지 커브드 팬츠,
MS5215342,bottom,0.3126,0.7786,23.9,245863,옥스포드 쇼츠 팬츠 (화이트),
MS6800912,top,0.3167,0.5488,30.8,249092,러플 포인트 오프숄더 블라우스 [화이트],
MS6928578,top,0.3234,0.7445,60.2,254363,PLEATED GRAPHIC T-SHIRT IN WHITE,
MS7051091,bottom,0.3248,0.8904,224.8,255443,스터드 저지 스커트  블랙,
MS6365296,bottom,0.3286,0.8046,161.1,258446,에센셜 와이드 치노 팬츠 - 워시드 베이지,
MS6980114,top,0.3328,0.484,131.5,261722,Plaid Tie Shirt (light gray),
MS5487571,bottom,0.3332,0.693,213.0,262019,포미 다크블루 스판 부츠컷 데님팬츠,
MS6370971,top,0.3369,0.6063,187.1,264918,크랙 식스 포인트 로고 반팔 티셔츠 (와인),
MS2796118,bottom,0.3377,0.5156,196.8,265585,7160 캣 브러쉬 슬림 진청 부츠컷 데님팬츠,
MS5661619,bottom,0.3388,0.6645,91.9,266424,우먼즈 나일론 루치드 롱 스커트 [애쉬 그레이],
MS6837150,top,0.3394,0.4452,107.1,266944,레터링 원숄더 티셔츠_MIWLWG913A,
MS6918910,bottom,0.34,0.6778,235.9,267421,스튜디오 플리스 미디엄 웨이트 미드라이즈 와이드 레그 팬츠 W - 토탈 블랙:세일 / IM8103-001,
MS6938901,bottom,0.3404,0.7471,148.0,267682,핏업데님 릴렉스 부츠컷_Long_MIWTJG946J,
MS5442400,bottom,0.3426,0.6662,229.5,269446,Latch Micro Belt Shorts (BLACK),
MS5180199,bottom,0.3446,0.4997,62.1,270969,레이스 레이어드 롱 원피스 (아이보리),
