product_id,photo_color,agreement,garment_ratio,reason
MS5489923,블랙,0.873,0.3263,garment_vote
MS1684196,블랙,0.983,0.3089,garment_vote
MS4438290,블랙,0.980,0.3572,garment_vote
MS4701991,블랙,0.978,0.3140,garment_vote
MS5526391,블랙,0.935,0.2442,garment_vote
MS7000528,,0.750,0.2525,low_agreement
MS2360891,,0.502,0.1760,low_agreement
MS4290311,,0.385,0.4834,low_agreement
MS3885151,,0.600,0.1463,low_agreement
MS7052148,,0.570,0.5765,low_agreement
MS7087082,카키,0.948,0.3857,garment_vote
MS7086870,,0.637,0.2930,low_agreement
MS7052707,네이비,0.858,0.2665,garment_vote
MS7052493,,0.412,0.2874,low_agreement
MS7052484,,0.540,0.3866,low_agreement
MS7052141,브라운,0.800,0.3912,garment_vote
MS7052075,블랙,0.925,0.3745,garment_vote
MS7051958,베이지,0.900,0.3600,garment_vote
MS6434285,,0.542,0.3026,low_agreement
MS6398934,,0.480,0.3009,low_agreement
MS6930654,레드,0.877,0.3934,garment_vote
MS6796665,,0.412,0.3016,low_agreement
MS7071736,그레이,0.802,0.4753,garment_vote
MS7061038,그레이,0.943,0.4745,garment_vote
MS7071572,레드,0.973,0.4904,garment_vote
MS5498292,카키,0.950,0.4210,garment_vote
MS3716632,,0.568,0.2859,low_agreement
MS4615031,,0.642,0.3184,low_agreement
MS5550541,,0.620,0.4156,low_agreement
MS4470056,,0.647,0.5045,low_agreement
MS6879501,화이트,0.910,0.3994,garment_vote
MS6935824,,0.438,0.2757,low_agreement
MS6935823,그레이,0.825,0.2741,garment_vote
MS5808779,블랙,0.978,0.3488,garment_vote
MS6048900,블랙,0.945,0.2886,garment_vote
MS6031346,블랙,0.945,0.2886,garment_vote
